,ID,characteristics_of_deformation,country,deformation_observation,duration_of_observation,geodetic_measurements,inferred_causes,latitude,longitude,measurement_methods,name,references,volcano_number,image_url,Area
84,2245,"<p>Pritchard and Simons present ERS-1 and -2 and RADARSAT data for northern Kamchatka between 1992 and 2003, although most volcanoes are only covered during the last three years. The authors state there is a complete list in the GSA Data Repository Item 2004139.<br />
The Institute of Volcanology and Seismology (IVS FEB RAS) and Kamchatka Volcanic Eruption Response Team (KVERT) are responsible for monitoring volcanoes and providing aviation alerts.</p>
",Russia,No,1992 to 2003,Yes,,53.256,158.836,InSAR,Avachinsky,"[Pritchard, M. E., & Simons, M. (2004). Surveying volcanic arcs with satellite radar interferometry: The central Andes, Kamchatka, and beyond. GSA Today, 14(8), 4-11.<br />
GSA Data Repository Item 2004139. Tables DR1 and DR2 and Figures DR1–DR3, is available on request from Documents Secretary, GSA, P.O. Box 9140, Boulder, CO 80301-9140, USA, editing@geosociety.org, or at www.geosociety.org/pubs/ft2004.htm, Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=300100]",300100,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/baru/baru_011D_08160_131211.jpg,Kamchatka and Mainland Asia
85,4053,"<p>Since the eruption in 1998, deformation at Axial Seamount has been monitored using bottom pressure recorders (BPRs) and mobile pressure recorders (MPRs).<br />
Between 1998 and 2004, the rate of inflation was highest in the months immediately after the eruption (20 cm/month) and has since declined to a steady rate of 15 cm/month. Uplift in the caldera has been observed at a rate of 22 cm/year relative to a point outside the caldera. Assuming continuous uplift since the 1998 eruption, these observations suggest that the centre of the caldera has re-inflated about 1.5 m, thus recovering almost 50% of the 3.2 m subsidence that was measured during the 1998 eruption. This inflation rate was used to calculate a magma supply rate of 14 x 10^6 m³/year. If this recurrence continues, it also suggests a recurrence interval of ~16 years between eruptions at Axial Seamount, assuming that it will be ready to erupt again when it has re-inflated to 1998 levels. (Chadwick et al., 2006).<br />
Data between 2004 to 2007 indicate steady inflation of 12.7 cm/year at the caldera centre. The spatial pattern of uplift is consistent with magma storage in a shallow reservoir underlying the caldera at a depth of 3.5 km, and the current uplift rate implies that magma is being supplied to the volcano at a rate of 7.5&#215;10^6 m³/year. However, the supply rate immediately after the eruption in 1998 was significantly higher, and the temporal pattern of uplift at Axial caldera appears to be governed by at least two processes occurring on very different time scales. The high uplift rates immediately following the 1998 eruption are interpreted to be due to either an influx from one or more small satellite magma bodies or as the result of viscoelastic relaxation and/or poroelastic behavior of the crust surrounding the shallow magma chamber. The current lower uplift rate is interpreted as being due to a steady long term magma supply from the mantle. This two component uplift pattern has not been observed on land volcanoes, suggesting that magma supply/storage processes beneath this ridge axis volcano differ from volcanoes on land (including Iceland). It is possible to forecast that the next eruption at Axial Seamount is likely to occur by about 2020, when most of the 3 m of deflation that occurred during the 1998 eruption will have been recovered. (Nooner et al., 2009).<br />
Continuous measurements of ocean bottom pressure document the deflation–inflation cycle of Axial Seamount between 1998 and 2011. The volcano inflation rate, caused by the intrusion of magma,  is found to have gradually increased in the months leading up to the 2011 eruption. Sudden uplift occurred 40–55 minutes before the onset of eruption, which is interpreted as a precursor event. Based on ground deformation measurements through the entire eruption cycle at Axial Seamount, it is suggested that another eruption could occur as early as 2018. It is proposed that the long-term eruptive cycle of Axial Seamount could be more predictable compared with its subaerial counterparts. This is because the volcano receives a relatively steady supply of magma through the Cobb hotspot and because it is located on thin oceanic crust at a spreading plate boundary. (Chadwick et al., 2012).</p>
",Undersea Features,Yes,"2000-present (BPR, MPR)",Yes,Magmatic,45.95,-130.0,"Levelling, Continuous bottom pressure recorders (BPR), Mobile pressure recorders (MPR)",Axial Seamount,"[Chadwick, W.W., Nooner, S.L., Zumberge, M.A., Embley, R.W. and Fox, C.G., 2006. Vertical deformation monitoring at Axial Seamount since its 1998 eruption using deep-sea pressure sensors. Journal of Volcanology and Geothermal Research, 150(1), pp.313-327., Nooner, S.L. and Chadwick, W.W., 2009. Volcanic inflation measured in the caldera of Axial Seamount: Implications for magma supply and future eruptions. Geochemistry, Geophysics, Geosystems, 10(2)., Chadwick Jr, W.W., Nooner, S.L., Butterfield, D.A. and Lilley, M.D., 2012. Seafloor deformation and forecasts of the April 2011 eruption at Axial Seamount. Nature Geoscience, 5(7), pp.474-477.]",331021,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/baru/baru_084D_08014_091312.jpg,Hawaii and Pacific Ocean
86,5176,"<p>Keir et al. (2011) processed InSAR data from between 1997-2003 that covered Ayelu to investigate a nearby dyke intrusion. Although a figure of this InSAR data is not included in their paper, they state that no deformation associated with the volcano is observed during this time.</p>
",Ethiopia,No,1997-2003,Yes,,10.082,40.702,InSAR,Ayelu,"[Keir, D., C. Pagli, I. D. Bastow, and A. Ayele (2011), The magma‐assisted removal of Arabia in Afar: Evidence from dike injection in the Ethiopian rift captured using InSAR and seismicity, Tectonics, 30, TC2008, doi:10.1029/2010TC002785, NASA Landsat image (worldwind.arc.nasa.gov)]",221160,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/barva/barva_084D_08014_091312.jpg,Africa and Red Sea
87,2498,,Russia,,,No,,52.52,98.6,No measurements,Azas Plateau,"[Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=302070]",302070,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/bayuda_volcanic_field/bayuda-volcanic-field_021D_07147_131313.jpg,Kamchatka and Mainland Asia
88,3469,"<p>No deformation was detected at Azufral between 2006 and 2009 during ALOS surveys of Latin American volcanoes (<em>Fournier et al</em>., 2010, <em>Parks et al</em>., 2011).</p>
",Colombia,No,2006-2009,Yes,,1.08,-77.68,InSAR,Azufral,"[Fournier, T. J., M. E. Pritchard, and S. N. Riddick (2010), Duration, magnitude, and frequency of subaerial volcano deformation events: New results from Latin America using InSAR and a global synthesis, Geochem. Geophys. Geosyst., 11, Q01003, doi:10.1029/2009GC002558., Parks, M. M., J. Biggs, T. A. Mather, D. M. Pyle, F. Amelung, M. L. Monsalve, and L. Narváez Medina (2011), Co-eruptive subsidence at Galeras identified during an InSAR survey of Colombian volcanoes (2006–2009), Journal of Volcanology and Geothermal Research 202, no. 3, 228-240, doi:10.1016/j.jvolgeores.2011.02.007]",351090,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/belenkaya/belenkaya_060D_03718_021307.jpg,South America
89,3805,,Philippines,,,No,,19.523,121.94,No measurements,Babuyan Claro,"[Global Volcanism Program, 2013. [Babuyan Claro (274030)] in Volcanoes of the World, v. 4.5.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 09 Jul 2016 ([http://volcano.si.edu/volcano.cfm?vn=274030]).]",274030,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/belknap/belknap_115D_04601_131313.jpg,Philippines and SE Asia
90,5181,"<p>A continuous GPS receiver was installed at Bachelor in 2002. Observations show no measureable deformation (CVO website) (http://earthquake.usgs.gov/monitoring/gps/Pacific_Northwest/)</p>
",United States,No,2002 - present,Yes,,43.979,-121.68799999999999,GPS - continuous,Bachelor,[U.S. Geological Survey Cascades Volcano Observatory (CVO) website http://volcanoes.usgs.gov/volcanoes/mount_bachelor/mount_bachelor_monitoring_127.html],322090,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/bely/bely_060D_03181_131009.jpg,Canada and Western USA
91,3950,"<p>Bagana is a large cone, and one of Melanesia&#8217;s youngest and most active volcanoes. The volcano was continuously erupting between 2000 and 2015, and then again in 2016. This is in addition to numerous eruptions throughout the 20th century. These eruptions were predominantly andesitic lava flows from the summit crater, although occasional pyroclastic flows occur. No geodetic measurements have been made at this volcano however.</p>
",Papua New Guinea,,,No,,-6.1370000000000005,155.196,No measurements,Bagana,"[Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=259010]",259010,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/beru/beru_079D_08094_131313.jpg,Melanesia and Australia
92,2261,"<p>The Institute of Volcanology and Seismology (IVS FEB RAS) and Kamchatka Volcanic Eruption Response Team (KVERT) are responsible for monitoring volcanoes and providing aviation alerts.</p>
",Russia,,,No,,53.905,158.07,No measurements,Bakening,"[Pritchard, M. E., & Simons, M. (2004). Surveying volcanic arcs with satellite radar interferometry: The central Andes, Kamchatka, and beyond. GSA Today, 14(8), 4-11., Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=300123]",300123,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/besar/besar_018D_09415_060403.jpg,Kamchatka and Mainland Asia
93,466,"<p><span style=""color: #333333;"">In 1980-1984 the </span><span style=""color: #333333;"">U.S Geological Survey established and remeasured a trilateration network at Hood, measuring slope distances with EDM. No significant changes in the measurements were observed (Chadwick et al. 1985).</span></p>
<p style=""color: #333333;""><span style=""color: #000000;"">In 1975 Baker went through a period of unrest interpreted to be the emplacement of a magma body. Gravity stations were installed in response to this activity and were resurveyed in 2005 &#8211; 2006 revealing a major gravity increase (1800 ± 300 <em>μ</em>Gal) (Crider et al. 2008). GPS campaigns were carried out in 2004, 2006, 2007, and 2009, with additional marks added to the original EDM network. These measurements suggest that the volcano had subsided at a rate of &lt;2 mm/yr in the 25 years between surveys. Models of this period predict a total volume change of −11 × 10<sup>6</sup> m<sup>3</sup>, located 1500 m east–northeast of the summit, at a depth of ∼5.8 km (Hodge and Crider, 2010). </span>Subsidence is thought to occur due to densification and devolatilization of the magma body intruded in the 1970s.</p>
",United States,Yes,"1980 - 1934, 2004 - 2009",Yes,Magmatic,48.777,-121.81299999999999,"GPS - campaign, EDM, Gravity",Baker,"[Chadwick, W. W., Iwatsubo, E. Y., Swanson, D. A., and Ewert, J. W. (1985) Measurements of Slope Distances and Vertical Angles at Mount Baker and Mount Rainier, Washington, Mount Hood and Crater Lake, Oregon, and Mount Shasta and Lassen Peak, California, 1980-1984, US Department of the Interior, Geological Survey, Open File Report 85-205., Crider, J. G., Hill Johnsen, K., Williams‐Jones, G. (2008) Thirty‐year gravity change at Mount Baker Volcano, Washington, USA: Extracting the signal from under the ice. Geophysical Research Letters, 35(20)., Hodge, B. E., Crider, J. G. (2010) Investigating mechanisms of edifice deflation, 1981–2007, at Mount Baker volcano, Washington, United States. Journal of Geophysical Research, 115(B4)., U.S. Geological Survey Cascade Volcano Observatory (CVO) http://volcanoes.usgs.gov/volcanoes/baker/baker_monitoring_114.html]",321010,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/besar/besar_120D_09443_131313.jpg,Canada and Western USA
94,3695,,Philippines,,,No,,8.77,124.98,No measurements,Balatukan,"[Global Volcanism Program, 2013. [Balatukan (271072)] in Volcanoes of the World, v. 4.5.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 05 Jul 2016 ([http://volcano.si.edu/volcano.cfm?vn=271072]).]",271072,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/bezymianny/bezymianny_060D_03364_131312.jpg,Philippines and SE Asia
95,3959,"<p>The most recent eruption at Balbi is unknown, but fumeroles and boiling mud can sometimes be seen at the volcano. No geodetic studies have been published on Balbi.</p>
",Papua New Guinea,,,No,,-5.92,154.98,No measurements,Balbi,"[Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=255010]",255010,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/bibinoi/bibinoi_017D_09055_091313.jpg,Melanesia and Australia
96,3964,"<p>Baluan is a small circular volcanic island. The activity here is of unknown but probably Pleistocene age. In contrast to it&#8217;s neighbours most products here are basaltic. No geodetic data are reported for Baluan.</p>
",Baluan,,,No,,-2.57,147.28,No measurements,Baluan,"[Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=250020]",250020,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/bilate_river_field/bilate-river-field_152D_08315_131313.jpg,Melanesia and Australia
97,3662,,Philippines,,,No,,5.4,125.375,No measurements,Balut,"[Global Volcanism Program, 2013. [Balut (271010)] in Volcanoes of the World, v. 4.5.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 01 Jul 2016 ([http://volcano.si.edu/volcano.cfm?vn=271010]).]",271010,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/black_butte_crater_lava_field/black-butte-crater-lava-field_173D_04772_131313.jpg,Philippines and SE Asia
98,3968,"<p>The most recent eruption at Bam was a VEI 2 in April 1960. Other eruptions occurred in the 1940&#8217;s and 50&#8217;s and possibly throughout the late 19th century. No geodetic data is available for Bam.</p>
",Papua New Guinea,,,No,,-3.613,144.81799999999998,No measurements,Bam,"[Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=251010]",251010,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/black_butte_crater_lava_field/black-butte-crater-lava-field_173D_04572_131313.jpg,Melanesia and Australia
99,3971,"<p>No geodetic measurements have been made at Banus volcano (also known as South Son), which is predominantly andesitic. The most recent eruption was thought to occur around 1886.</p>
",Papua New Guinea,,,No,,-5.2,151.23,No measurements,Bamus,"[Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=252110]",252110,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/black_peak/black-peak_102D_03323_081113.jpg,Melanesia and Australia
100,3741,,Philippines,,,No,,14.07,121.48,No measurements,Banahaw,"[Global Volcanism Program, 2013. [Banahaw (273050)] in Volcanoes of the World, v. 4.5.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 08 Jul 2016 ([http://volcano.si.edu/volcano.cfm?vn=273050]).]",273050,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/black_rock_desert/black-rock-desert_100D_05113_131313.jpg,Philippines and SE Asia
101,4407,,Mexico,,,No,,19.3,-110.82,No measurements,Bárcena,[http://volcano.si.edu/volcano.cfm?vn=341020],341020,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/bliznets/bliznets_060D_03364_131312.jpg,Mexico and Central America
102,3045,"<p>The most recent activity at Bardarbunga occurred in 2014 with the injection of a 45-km-long regional dike was emplaced over a period of 2 weeks in August 2014. Gudmundsson et al. (2014)  show that the dike initiated close to the Bardarbunga Volcano but gradually extended to the northeast until it crossed the boundary between the East Volcanic Zone (EVZ) and the North Volcanic Zone (NVZ). The eruption was heavily monitored using <span style=""color: #000000;"">InSAR analysis, in conjunction with GPS measurements and earthquake seismicity, has been instrumental in the continued monitoring of Bárðarbunga volcanic system since the onset of unrest. </span><br />
<span style=""color: #000000;"">Parks et al. (2015) present interferograms spanning the recent unrest and eruption within the Bárðarbunga volcanic system and shows &#8220;both pre-eruptive and co-eruptive deformation associated with the initial dyke emplacement and ongoing magma withdrawal from beneath the Bárðarbunga central volcano&#8221;. </span></p>
",Iceland,Yes,Continuous,Yes,Magmatic,64.42,-17.33,"InSAR, GPS - continuous, GPS - campaign, Levelling, Strainmeter, Tiltmeter, EDM",Bardarbunga,"[Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=372030, Parks, M., Dumont, S., Drouin, V., Sigmundsson, F., Spaans, K., Hooper, A., ... & Sturkell, E. (2015, April). PS-InSAR measurements at the most active volcanoes in Iceland: role of the GEO supersite initiative in deformation monitoring at Bárðarbunga, Askja, Hekla, Katla and Eyjafjallajökull volcanoes. In EGU General Assembly Conference Abstracts (Vol. 17, p. 12290)., Gudmundsson, A., Lecoeur, N., Mohajeri, N., & Thordarson, T. (2014). Dike emplacement at Bardarbunga, Iceland, induces unusual stress changes, caldera deformation, and earthquakes. Bulletin of Volcanology, 76(10), 1-7.]",373030,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/bliznetsy/bliznetsy_060D_03181_131009.jpg,Iceland and Arctic Ocean
103,2230,"<p>The Institute of Volcanology and Seismology (IVS FEB RAS) and Kamchatka Volcanic Eruption Response Team (KVERT) are responsible for monitoring volcanoes and providing aviation alerts.</p>
",Russia,,,No,,52.823,158.27,No measurements,Barkhatnaya Sopka,"[Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=300084, Pritchard, M. E., & Simons, M. (2004). Surveying volcanic arcs with satellite radar interferometry: The central Andes, Kamchatka, and beyond. GSA Today, 14(8), 4-11.]",300084,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/bliznetsy/bliznetsy_060D_03364_131312.jpg,Kamchatka and Mainland Asia
104,5367,"<p>no published measurements</p>
",Panama,,,No,,8.808,-82.54299999999999,No measurements,Barú,[-],346010,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/blue_lake_crater/blue-lake-crater_115D_04601_131313.jpg,Mexico and Central America
105,5357,"<p><span style=""color: #333333;"">No deformation was detected at Barva (detection threshold 2 cm/yr) during an ALOS survey of Central American volcanoes (</span><em style=""color: #333333;"">Ebmeier et al., 2013</em><span style=""color: #333333;"">).</span></p>
",Costa Rica,No,2007-2010,Yes,,10.135,-84.1,InSAR,Barva,"[Ebmeier, S. K., J. Biggs, T. A. Mather, and F. Amelung (2013), On the lack of InSAR observations of magmatic deformation at Central American volcanoes, J. Geophys. Res. Solid Earth, 118, 2571–2585, doi:10.1002/jgrb.50195.]",345050,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/bobrof/bobrof_059D_03819_050404.jpg,Mexico and Central America
106,3829,,Vietnam,,,No,,10.8,107.2,No measurements,Bas Dong Nai,"[Global Volcanism Program, 2013. [Bas Dong Nai (275050)] in Volcanoes of the World, v. 4.5.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 12 Jul 2016 ([http://volcano.si.edu/volcano.cfm?vn=275050]).]",275050,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/bogoslof/bogoslof_044D_03600_070805.jpg,Philippines and SE Asia
107,1537,"<p>No geodetic studies have ever been undertake on the Bayuda Volcanic Field. I the field, however, over 90 eruptive centres lie along a WNW-ESE line, the youngest of which is around 1000 years old.</p>
",Sudan,,,No,,18.33,32.75,No measurements,Bayuda Volcanic Field,"[NASA Space Shuttle image ISS004-711-20, 2002 (http://eol.jsc.nasa.gov/).]",225060,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/bolshoi_payalpan/bolshoi-payalpan_060D_03364_131312.jpg,Africa and Red Sea
108,2138,"<p>Shirzaei et al. (2012) present Envisat radar InSAR images from 2003 through 2010 at all Iranian volcanoes, using multitemporal interferometric analysis.<br />
The authors show <span style=""color: #000000;"">surface deformation at both &#8220;Taftan and Bazman volcanos associated with different episodes of uplift and subsidence. The inverse model simulations suggest that the time-dependent inflations and deflations of extended and spherical pressurized magma chambers are responsible for the surface displacements at these volcanoes&#8221;.</span></p>
",Iran,Yes,2003 to 2010,Yes,Magmatic,28.07,60.0,InSAR,Bazman,"[Shirzaei, M. (2012) A satellite geodetic survey of spatiotemporal deformation of Iranian volcanoes (abstract EGU2012-13789-3), EGU General Assembly., Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=232030]",232030,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/bolshoi_semiachik/bolshoi-semiachik_060D_03564_131313.jpg,Middle East and Indian Ocean
109,1108,,United States,,,No,,55.32,-131.05,No measurements,Behm Canal-Rudyerd Bay,"[U.S. Geological Survey Alaska Volcano Observatory (AVO) website<br />
http://www.avo.alaska.edu/volcanoes/volcinfo.php?volcname=Behm%20Canal-Rudyerd%20Bay]",315070,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/bora_ale/bora-ale_079D_07694_131313.jpg,Alaska
110,2179,"<p>The Institute of Volcanology and Seismology (IVS FEB RAS) and Kamchatka Volcanic Eruption Response Team (KVERT) are responsible for monitoring volcanoes and providing aviation alerts.</p>
",Russia,,,No,,51.75,157.27,No measurements,Belenkaya,"[Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=300042, Pritchard, M. E., & Simons, M. (2004). Surveying volcanic arcs with satellite radar interferometry: The central Andes, Kamchatka, and beyond. GSA Today, 14(8), 4-11.]",300042,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/bridge_river_cones/bridge-river-cones_086D_03905_131313.jpg,Kamchatka and Mainland Asia
111,3631,,Sumatra,,,No,,-2.82,102.18,No measurements,Belirang-Beriti,"[Global Volcanism Program, 2013. Belirang-Beriti (261200) in Volcanoes of the World, v. 4.5.0. Venzke, E (ed.). Smithsonian Institution. (http://volcano.si.edu/volcano.cfm?vn=261200). http://dx.doi.org/10.5479/si.GVP.VOTW4-2013]",261200,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/bufumbira/bufumbira_021D_09150_131313.jpg,Indonesia
112,445,,United States,,,No,,44.285,-121.84100000000001,No measurements,Belknap,[U.S. Geological Survey Cascades Volcano Observatory (CVO) website http://volcanoes.usgs.gov/volcanoes/belknap/],322060,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/bukit_daun/bukit-daun_018D_09287_131313.jpg,Canada and Western USA
113,2453,"<p>The Institute of Volcanology and Seismology (IVS FEB RAS) and Kamchatka Volcanic Eruption Response Team (KVERT) are responsible for monitoring volcanoes and providing aviation alerts.</p>
",Russia,,,No,,57.88,160.53,No measurements,Bely,"[Pritchard, M. E., & Simons, M. (2004). Surveying volcanic arcs with satellite radar interferometry: The central Andes, Kamchatka, and beyond. GSA Today, 14(8), 4-11.<br />
GSA Data Repository Item 2004139. Tables DR1 and DR2 and Figures DR1–DR3, is available on request from Documents Secretary, GSA, P.O. Box 9140, Boulder, CO 80301-9140, USA, editing@geosociety.org, or at www.geosociety.org/pubs/ft2004.htm, Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=300640]",300640,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/bukit_lumut_balai/bukit-lumut-balai_018D_09415_060403.jpg,Kamchatka and Mainland Asia
114,1441,,Antarctica,,,No,,-76.05,-136.0,No measurements,Berlin,"[Smithsonian Institution Global Volcanism Program<br />
http://volcano.si.edu/volcano.cfm?vn=390022]",390022,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/bukit_lumut_balai/bukit-lumut-balai_120D_09443_131313.jpg,Antarctica
115,177,"<p>ERS interferograms between 1997-2000, and Envisat interferograms between 2005-2010 show no deformation associated with the volcano (Biggs et al., 2011).</p>
",Ethiopia,No,"1997-2000, 2005-2010",Yes,,8.95,39.75,InSAR,Beru,"[Biggs, J., I. D. Bastow, D. Keir, and E. Lewi (2011), Pulses of deformation reveal frequently recurring shallow magmatic activity beneath the Main Ethiopian Rift, Geochem. Geophys. Geosyst., 12, Q0AB10, doi:10.1029/2011GC003662., Siebert, L., and T. Simkin (2002), Volcanoes of the World: An Illustrated Catalogue of Holocene Volcanoes and Their Eruptions, Global Volcanism Program Digital Inf. Ser., GVP‐3, Smithsonian Inst., Washington, D. C. [Available at http://www.volcano.si.edu/world/.]]",221191,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/bulusan/bulusan_061D_07748_050613.jpg,Africa and Red Sea
116,2673,,Japan - administered by Russia,,,No,,44.461999999999996,146.93200000000002,No measurements,Berutarubesan [Berutarube],"[Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=290040]",290040,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/bunyaruguru/bunyaruguru_021D_08954_131313.jpg,Kuril Islands
117,3650,,Sumatra,,,No,,-4.43,103.67,No measurements,Besar,"[Global Volcanism Program, 2013. Besar (261250) in Volcanoes of the World, v. 4.5.0. Venzke, E (ed.). Smithsonian Institution. (http://volcano.si.edu/volcano.cfm?vn=261250). http://dx.doi.org/10.5479/si.GVP.VOTW4-2013]",261250,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/bur_ni_telong/bur-ni-telong_135D_08556_121208.jpg,Indonesia
118,5361,"<div class=""abstract svAbstract "" style=""color: #2e2e2e;"" data-etype=""ab"">
<p id=""sp0005"">Grapenthin et al. (2012) investigate deformation related to ongoing activity and installed a GPS network of 8 continuous and 6 campaign stations around Bezymianny.</p>
<p>During the 2005–2010, the authors show: &#8220;(1) rapid and continuous network-wide subsidence between 8 and 12 mm/yr&#8221;, which appears to affect GPS stations more than 40 km away, which show 4–5 mm/yr of subsidence, &#8220;and (2) only the summit station BZ09 shows slight deviations from the average motion in the north component at times of eruptions&#8221;.</p>
<p id=""sp0010"">The authors model the deformation by &#8220;a deep sill at about 30 km under Kluchevskoy that constantly discharges material.&#8221; The sill is constrained by deep seismicity which suggests 9.5 km width, 12.7 km length, and a 13° dip-angle to the south-east.&#8221;  The authors infer a closing rate of 0.22 m/yr, which implies a volume loss of 0.027 km<sup>3</sup>/yr (0.16 m/yr and 0.019 km<sup>3</sup>/yr considering surface loading)&#8221;.</p>
<p id=""sp0015"">Eruption related deformation is likely due to &#8220;a very shallow reservoir, likely within Bezymianny&#8217;s edifice at a depth between 0.25 km and 1.5 km with a volume change of 1–4 × 10<sup>− 4</sup> km<sup>3</sup>. Much of the material erupted at Bezymianny may be sourced from deeper mid-crustal reservoirs with co-eruptive volume changes at or below the detection limit of the GPS network&#8221;</p>
<p>&nbsp;
</p></div>
<p>&nbsp;<br />
Pritchard and Simons present ERS-1 and -2 and RADARSAT data for northern Kamchatka between 1992 and 2003. The authors state that they &#8220;do not observe deformation associated with eruptions that occurred during the time period of observation at [&#8230;] Bezymianny, but because of the poor spatial and temporal coverage, only large signals would be detectable (see GSA Data Repository)&#8221;.</p>
",Russia,Yes,1992 to 2003; 2005 to 2010,Yes,Magmatic,55.972,160.595,"InSAR, GPS - continuous, GPS - campaign",Bezymianny,"[Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=300250, Pritchard, M. E., & Simons, M. (2004). Surveying volcanic arcs with satellite radar interferometry: The central Andes, Kamchatka, and beyond. GSA Today, 14(8), 4-11.<br />
GSA Data Repository Item 2004139. Tables DR1 and DR2 and Figures DR1–DR3, is available on request from Documents Secretary, GSA, P.O. Box 9140, Boulder, CO 80301-9140, USA, editing@geosociety.org, or at www.geosociety.org/pubs/ft2004.htm, Grapenthin, R., J. T. Freymueller, S. S. Serovetnikov (2012) Surface deformation of Bezymianny volcano, Kamchatka, recorded by GPS: The eruptions from 2005-2010 and long-term, long-wavelength subsidence, J. Volc. Geotherm. Res., doi:10.1016/j.volgeores.2012.11.012]",300250,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/cabalian/cabalian_061D_07906_131313.jpg,Kamchatka and Mainland Asia
119,4246,,Indonesia,Yes,,No,Uncertain,-0.77,127.72,No measurements,Bibinoi,[.],268073,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/caichinque/caichinque_083D_11452_131313.jpg,Indonesia
120,5178,"<p>Envisat InSAR data from between 2003-2010 has been studied by Biggs et al. (2010). They found now deformation at Bilate River Field at this time.</p>
",Ethiopia,No,2003-2010,Yes,,7.07,38.1,InSAR,Bilate River Field,"[Biggs, J., I. D. Bastow, D. Keir, and E. Lewi (2011), Pulses of deformation reveal frequently recurring shallow magmatic activity beneath the Main Ethiopian Rift, Geochem. Geophys. Geosyst., 12, Q0AB10, doi:10.1029/2011GC003662., NASA Landsat7 image (worldwind.arc.nasa.gov)]",221291,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/caichinque/caichinque_156D_11424_131313.jpg,Africa and Red Sea
