jasmin_name,name,ID,country,geodetic_measurements,deformation_observation,duration_of_observation,characteristics_of_deformation,latitude,longitude,measurement_methods,inferred_causes,references,Area,frames
poas,Poás,345050,Costa Rica,Yes,No,2007-2010,"<p><span style=""color: #333333;"">No deformation was detected at Poás (detection threshold 0.9 cm/yr) during an ALOS survey of Central American volcanoes (</span><em style=""color: #333333;"">Ebmeier et al., 2013</em><span style=""color: #333333;"">).</span><br />
&nbsp;<br />
&nbsp;</p>
",10.2,-84.23299999999999,InSAR,,"['Ebmeier, S. K., J. Biggs, T. A. Mather, and F. Amelung (2013), On the lack of InSAR observations of magmatic deformation at Central American volcanoes, J. Geophys. Res. Solid Earth, 118, 2571–2585, doi:10.1002/jgrb.50195.']",Middle East and Indian Ocean,
,Bas Dong Nai,275050,Vietnam,No,,,,10.8,107.2,No measurements,,"['Global Volcanism Program, 2013. [Bas Dong Nai (275050)] in Volcanoes of the World, v. 4.5.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 12 Jul 2016 ([http://volcano.si.edu/volcano.cfm?vn=275050]).']",Alaska,
batu_tara,Batu Tara,264260,Indonesia,No,,,,-7.791,123.585,No measurements,,"['Global Volcanism Program, 2013. Batu Tara (264260) in Volcanoes of the World, v. 4.8.3. Venzke, E (ed.). Smithsonian Institution. Downloaded 22 Sep 2019 (https://volcano.si.edu/volcano.cfm?vn=264260). https://doi.org/10.5479/si.GVP.VOTW4-2013<br />\r\n<br />\r\n']",Kamchatka and Mainland Asia,
batur,Batur,264010,Indonesia,Yes,No,2017 to 2017,"<p>The 2017 eruption of Agung observed an uplift between Agung and Batur volcanoes. However, there is no significant ground displacement detected at Batur during the period of observation between April and November 2017 (Albino et al. 2019).</p>
",-8.242,115.375,InSAR,,"['Albino, F., Biggs, J., & Syahbana, D. K. (2019). Dyke intrusion between neighbouring arc volcanoes responsible for 2017 pre-eruptive seismic swarm at Agung. Nature communications, 10(1), 748.']",Indonesia,
bayuda_volcanic_field,Bayuda Volcanic Field,225060,Sudan,No,,,"<p>No geodetic studies have ever been undertake on the Bayuda Volcanic Field. I the field, however, over 90 eruptive centres lie along a WNW-ESE line, the youngest of which is around 1000 years old.</p>
",18.33,32.75,No measurements,,"['NASA Space Shuttle image ISS004-711-20, 2002 (http://eol.jsc.nasa.gov/).']",Canada and Western USA,
bazman,Bazman,232030,Iran,Yes,Yes,2003 to 2010,"<p>Shirzaei et al. (2012) present Envisat radar InSAR images from 2003 through 2010 at all Iranian volcanoes, using multitemporal interferometric analysis.<br />
The authors show <span style=""color: #000000;"">surface deformation at both &#8220;Taftan and Bazman volcanos associated with different episodes of uplift and subsidence. The inverse model simulations suggest that the time-dependent inflations and deflations of extended and spherical pressurized magma chambers are responsible for the surface displacements at these volcanoes&#8221;.</span></p>
",28.07,60.0,InSAR,Magmatic,"['Shirzaei, M. (2012) A satellite geodetic survey of spatiotemporal deformation of Iranian volcanoes (abstract EGU2012-13789-3), EGU General Assembly.', 'Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=232030']",Kamchatka and Mainland Asia,
behm_canal-rudyerd_bay,Behm Canal-Rudyerd Bay,315070,United States,No,,,,55.32,-131.05,No measurements,,['U.S. Geological Survey Alaska Volcano Observatory (AVO) website<br />\nhttp://www.avo.alaska.edu/volcanoes/volcinfo.php?volcname=Behm%20Canal-Rudyerd%20Bay'],Antarctica,
belenkaya,Belenkaya,300042,Russia,No,,,"<p>The Institute of Volcanology and Seismology (IVS FEB RAS) and Kamchatka Volcanic Eruption Response Team (KVERT) are responsible for monitoring volcanoes and providing aviation alerts.</p>
",51.75,157.27,No measurements,,"['Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=300042', 'Pritchard, M. E., & Simons, M. (2004). Surveying volcanic arcs with satellite radar interferometry: The central Andes, Kamchatka, and beyond. GSA Today, 14(8), 4-11.']",Africa and Red Sea,
,Belirang-Beriti,261200,Sumatra,No,,,,-2.82,102.18,No measurements,,"['Global Volcanism Program, 2013. Belirang-Beriti (261200) in Volcanoes of the World, v. 4.5.0. Venzke, E (ed.). Smithsonian Institution. (http://volcano.si.edu/volcano.cfm?vn=261200). http://dx.doi.org/10.5479/si.GVP.VOTW4-2013']",Kuril Islands,
belknap,Belknap,322060,United States,No,,,,44.285,-121.84100000000001,No measurements,,['U.S. Geological Survey Cascades Volcano Observatory (CVO) website http://volcanoes.usgs.gov/volcanoes/belknap/'],Indonesia,
bely,Bely,300640,Russia,No,,,"<p>The Institute of Volcanology and Seismology (IVS FEB RAS) and Kamchatka Volcanic Eruption Response Team (KVERT) are responsible for monitoring volcanoes and providing aviation alerts.</p>
",57.88,160.53,No measurements,,"['Pritchard, M. E., & Simons, M. (2004). Surveying volcanic arcs with satellite radar interferometry: The central Andes, Kamchatka, and beyond. GSA Today, 14(8), 4-11.<br />\nGSA Data Repository Item 2004139. Tables DR1 and DR2 and Figures DR1–DR3, is available on request from Documents Secretary, GSA, P.O. Box 9140, Boulder, CO 80301-9140, USA, editing@geosociety.org, or at www.geosociety.org/pubs/ft2004.htm', 'Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=300640']",Kamchatka and Mainland Asia,
,Berlin,390022,Antarctica,No,,,,-76.05,-136.0,No measurements,,['Smithsonian Institution Global Volcanism Program<br />\nhttp://volcano.si.edu/volcano.cfm?vn=390022'],Indonesia,
beru,Beru,221191,Ethiopia,Yes,No,"1997-2000, 2005-2010","<p>ERS interferograms between 1997-2000, and Envisat interferograms between 2005-2010 show no deformation associated with the volcano (Biggs et al., 2011).</p>
",8.95,39.75,InSAR,,"['Biggs, J., I. D. Bastow, D. Keir, and E. Lewi (2011), Pulses of deformation reveal frequently recurring shallow magmatic activity beneath the Main Ethiopian Rift, Geochem. Geophys. Geosyst., 12, Q0AB10, doi:10.1029/2011GC003662.', 'Siebert, L., and T. Simkin (2002), Volcanoes of the World: An Illustrated Catalogue of Holocene Volcanoes and Their Eruptions, Global Volcanism Program Digital Inf. Ser., GVP‐3, Smithsonian Inst., Washington, D. C. [Available at http://www.volcano.si.edu/world/.]']",Africa and Red Sea,
berutarubesan,Berutarubesan [Berutarube],290040,Japan - administered by Russia,No,,,,44.461999999999996,146.93200000000002,No measurements,,['Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=290040'],Philippines and SE Asia,
besar,Besar,261250,Sumatra,No,,,,-4.43,103.67,No measurements,,"['Global Volcanism Program, 2013. Besar (261250) in Volcanoes of the World, v. 4.5.0. Venzke, E (ed.). Smithsonian Institution. (http://volcano.si.edu/volcano.cfm?vn=261250). http://dx.doi.org/10.5479/si.GVP.VOTW4-2013']",Melanesia and Australia,
bezymianny,Bezymianny,300250,Russia,Yes,Yes,1992 to 2003; 2005 to 2010,"<div class=""abstract svAbstract "" style=""color: #2e2e2e;"" data-etype=""ab"">
<p id=""sp0005"">Grapenthin et al. (2012) investigate deformation related to ongoing activity and installed a GPS network of 8 continuous and 6 campaign stations around Bezymianny.</p>
<p>During the 2005–2010, the authors show: &#8220;(1) rapid and continuous network-wide subsidence between 8 and 12 mm/yr&#8221;, which appears to affect GPS stations more than 40 km away, which show 4–5 mm/yr of subsidence, &#8220;and (2) only the summit station BZ09 shows slight deviations from the average motion in the north component at times of eruptions&#8221;.</p>
<p id=""sp0010"">The authors model the deformation by &#8220;a deep sill at about 30 km under Kluchevskoy that constantly discharges material.&#8221; The sill is constrained by deep seismicity which suggests 9.5 km width, 12.7 km length, and a 13° dip-angle to the south-east.&#8221;  The authors infer a closing rate of 0.22 m/yr, which implies a volume loss of 0.027 km<sup>3</sup>/yr (0.16 m/yr and 0.019 km<sup>3</sup>/yr considering surface loading)&#8221;.</p>
<p id=""sp0015"">Eruption related deformation is likely due to &#8220;a very shallow reservoir, likely within Bezymianny&#8217;s edifice at a depth between 0.25 km and 1.5 km with a volume change of 1–4 × 10<sup>− 4</sup> km<sup>3</sup>. Much of the material erupted at Bezymianny may be sourced from deeper mid-crustal reservoirs with co-eruptive volume changes at or below the detection limit of the GPS network&#8221;</p>
<p>&nbsp;
</p></div>
<p>&nbsp;<br />
Pritchard and Simons present ERS-1 and -2 and RADARSAT data for northern Kamchatka between 1992 and 2003. The authors state that they &#8220;do not observe deformation associated with eruptions that occurred during the time period of observation at [&#8230;] Bezymianny, but because of the poor spatial and temporal coverage, only large signals would be detectable (see GSA Data Repository)&#8221;.</p>
",55.972,160.595,"InSAR, GPS - continuous, GPS - campaign",Magmatic,"['Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=300250', 'Pritchard, M. E., & Simons, M. (2004). Surveying volcanic arcs with satellite radar interferometry: The central Andes, Kamchatka, and beyond. GSA Today, 14(8), 4-11.<br />\nGSA Data Repository Item 2004139. Tables DR1 and DR2 and Figures DR1–DR3, is available on request from Documents Secretary, GSA, P.O. Box 9140, Boulder, CO 80301-9140, USA, editing@geosociety.org, or at www.geosociety.org/pubs/ft2004.htm', 'Grapenthin, R., J. T. Freymueller, S. S. Serovetnikov (2012) Surface deformation of Bezymianny volcano, Kamchatka, recorded by GPS: The eruptions from 2005-2010 and long-term, long-wavelength subsidence, J. Volc. Geotherm. Res., doi:10.1016/j.volgeores.2012.11.012']",Middle East and Indian Ocean,
bibinoi,Bibinoi,268073,Indonesia,No,Yes,,,-0.77,127.72,No measurements,Uncertain,['.'],Africa and Red Sea,
bilate_river_field,Bilate River Field,221291,Ethiopia,Yes,No,2003-2010,"<p>Envisat InSAR data from between 2003-2010 has been studied by Biggs et al. (2010). They found now deformation at Bilate River Field at this time.</p>
",7.07,38.1,InSAR,,"['Biggs, J., I. D. Bastow, D. Keir, and E. Lewi (2011), Pulses of deformation reveal frequently recurring shallow magmatic activity beneath the Main Ethiopian Rift, Geochem. Geophys. Geosyst., 12, Q0AB10, doi:10.1029/2011GC003662.', 'NASA Landsat7 image (worldwind.arc.nasa.gov)']",Africa and Red Sea,
biliran,Biliran,272080,Philippines,No,,,,11.523,124.535,No measurements,,"['Global Volcanism Program, 2013. [Biliran (272080)] in Volcanoes of the World, v. 4.5.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 06 Jul 2016 ([http://volcano.si.edu/volcano.cfm?vn=272080]).']",Africa and Red Sea,
billy_mitchell,Billy Mitchell,255011,Papua New Guinea,No,,,"<p>There have been no geodetic studies at Billy Mitchell, a small pyroclastic shield immediately NE of Bagana volcano.</p>
",-6.0920000000000005,155.225,No measurements,,['Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=255011'],Canada and Western USA,
,Bir Borhut,231180,Yemen,No,,,"<p>There is no evidence of a ground-based monitoring network dedicated to volcano surveillance in Yemen, however the Seismological and Volcanological Observatory Center (SVOC) at the Yemen National Seismological Observatory Center operate a national seismic network across the country and are responsible for the monitoring of volcanic activity in Yemen (Brown et al., 2015).</p>
",15.55,50.63,No measurements,,"['Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=231180', 'Regional and country profiles of volcanic hazard and risk. Report IV of the GVM/IAVCEI contribution to the Global Assessment Report on Disaster Risk Reduction 2015<br />\nS.K. Brown, R.S.J. Sparks, K. Mee, C. Vye-Brown, E. Ilyinskaya, S. Jenkins, S.C. Loughlin<br />\nhttp://www.preventionweb.net/english/hyogo/gar/2015/en/bgdocs/risk-section/GVMd.%20Global%20Volcanic%20Hazards%20and%20Risk%20Country%20volcanic%20hazard%20and%20risk%20profiles..pdf']",Alaska,
bishoftu_volcanic_field,Bishoftu Volcanic Field,221220,Ethiopia,Yes,No,2003-2010,"<p>Bishoftu (often described as Bishoftu volcanic field, or known as Debre Zeit) is comprised of a series of cinder cones, maars (many of which are filled with water) and tuff rings. Biggs et al. (2011) has investigated the region using InSAR between 2003-2010 and found no evidence for surface deformation.</p>
",8.78,38.98,InSAR,,"['Biggs, J., I. D. Bastow, D. Keir, and E. Lewi (2011), Pulses of deformation reveal frequently recurring shallow magmatic activity beneath the Main Ethiopian Rift, Geochem. Geophys. Geosyst., 12, Q0AB10, doi:10.1029/2011GC003662.<br />\n ', 'Siebert, L., and T. Simkin (2002), Volcanoes of the World: An Illustrated Catalogue of Holocene Volcanoes and Their Eruptions, Global Volcanism Program Digital Inf. Ser., GVP‐3, Smithsonian Inst., Washington, D. C. [Available at http://www.volcano.si.edu/world/.]']",Canada and Western USA,
,Biu Plateau,224050,Nigeria,No,,,,10.75,12.0,No measurements,,['.'],Canada and Western USA,
,Biu Plateau,224050,Nigeria,No,,,,10.75,12.088,No measurements,,['http://volcano.si.edu/volcano.cfm?vn=224050'],Kamchatka and Mainland Asia,
black_butte_crater_lava_field,Black Butte Crater Lava Field,324010,United States,No,,,,43.183,-114.352,No measurements,,['U.S. Geological Survey Cascade Volcano Observatory (CVO)<br />\nhttps://volcanoes.usgs.gov/volcanoes/black_butte_crater_lava_field/'],Kamchatka and Mainland Asia,
black_peak,Black Peak,312080,United States,No,,,,56.552,-158.785,No measurements,,['U.S. Geological Survey Alaska Volcano Observatory (AVO) website<br />\nhttp://www.avo.alaska.edu/volcanoes/volcinfo.php?volcname=Black%20Peak'],Canada and Western USA,
black_rock_desert,Black Rock Desert,327050,USA,No,,,,38.97,-112.5,No measurements,,['.'],Alaska,
black_rock_desert,Black Rock Desert,327050,United States,No,,,,38.97,-112.5,No measurements,,['U.S. Geological Survey Volcano Hazards Program<br />\nhttps://volcanoes.usgs.gov/volcanoes/black_rock_desert/'],Africa and Red Sea,
bliznets,Bliznets,300490,Russia,Yes,No,1992 to 2003,"<p>Pritchard and Simons present ERS-1 and -2 and RADARSAT data for northern Kamchatka between 1992 and 2003, although most volcanoes are only covered during the last three years. The authors state there is a complete list in the GSA Data Repository Item 2004139.<br />
The Institute of Volcanology and Seismology (IVS FEB RAS) and Kamchatka Volcanic Eruption Response Team (KVERT) are responsible for monitoring volcanoes and providing aviation alerts.</p>
",56.97,159.78,InSAR,,"['Pritchard, M. E., & Simons, M. (2004). Surveying volcanic arcs with satellite radar interferometry: The central Andes, Kamchatka, and beyond. GSA Today, 14(8), 4-11.<br />\nGSA Data Repository Item 2004139. Tables DR1 and DR2 and Figures DR1–DR3, is available on request from Documents Secretary, GSA, P.O. Box 9140, Boulder, CO 80301-9140, USA, editing@geosociety.org, or at www.geosociety.org/pubs/ft2004.htm', 'Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=300272']",Alaska,
bliznetsy,Bliznetsy,300552,Russia,Yes,No,1992 to 2003,"<p>Pritchard and Simons present ERS-1 and -2 and RADARSAT data for northern Kamchatka between 1992 and 2003, although most volcanoes are only covered during the last three years. The authors state there is a complete list in the GSA Data Repository Item 2004139.<br />
The Institute of Volcanology and Seismology (IVS FEB RAS) and Kamchatka Volcanic Eruption Response Team (KVERT) are responsible for monitoring volcanoes and providing aviation alerts.</p>
",57.35,161.37,InSAR,,"['Pritchard, M. E., & Simons, M. (2004). Surveying volcanic arcs with satellite radar interferometry: The central Andes, Kamchatka, and beyond. GSA Today, 14(8), 4-11.<br />\nGSA Data Repository Item 2004139. Tables DR1 and DR2 and Figures DR1–DR3, is available on request from Documents Secretary, GSA, P.O. Box 9140, Boulder, CO 80301-9140, USA, editing@geosociety.org, or at www.geosociety.org/pubs/ft2004.htm', 'Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=300552']",Kamchatka and Mainland Asia,
blue_lake_crater,Blue Lake Crater,322030,United States,No,,,,44.411,-121.774,No measurements,,['U.S. Geological Survey Cascades Volcano Observatory (CVO) website http://volcanoes.usgs.gov/volcanoes/blue_lake_crater/'],Kamchatka and Mainland Asia,
bobrof,Bobrof,311100,United States,No,,,,51.91,-177.438,No measurements,,['U.S. Geological Survey Alaska Volcano Observatory (AVO) website<br />\nhttp://www.avo.alaska.edu/volcanoes/volcinfo.php?volcname=Bobrof'],Kamchatka and Mainland Asia,
,Bogoria,222803,Kenya,No,,,,0.25,36.08,No measurements,,['http://volcano.si.edu/volcano.cfm?vn=222803'],Kamchatka and Mainland Asia,
bogoslof,Bogoslof,311300,United States,No,,,,53.93,-168.03,No measurements,,"['Lu, Z., and Dzurisin, D., 2014, InSAR imaging of Aleutian volcanoes: Chichester, UK, Springer-Praxis, 390 p.', 'U.S. Geological Survey Alaska Volcano Observatory (AVO) website<br />\nhttp://www.avo.alaska.edu/volcanoes/volcinfo.php?volcname=Bogoslof']",Middle East and Indian Ocean,
bolshe-bannaya,Bolshe-Bannaya,300087,Russia,No,,,"<p>The Institute of Volcanology and Seismology (IVS FEB RAS) and Kamchatka Volcanic Eruption Response Team (KVERT) are responsible for monitoring volcanoes and providing aviation alerts.</p>
",52.9,157.78,No measurements,,['Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=300087'],Africa and Red Sea,
bolshoi_payalpan,Bolshoi Payalpan,300300,Russia,No,,,"<p>The Institute of Volcanology and Seismology (IVS FEB RAS) and Kamchatka Volcanic Eruption Response Team (KVERT) are responsible for monitoring volcanoes and providing aviation alerts.</p>
",55.88,157.78,No measurements,,"['Pritchard, M. E., & Simons, M. (2004). Surveying volcanic arcs with satellite radar interferometry: The central Andes, Kamchatka, and beyond. GSA Today, 14(8), 4-11.<br />\nGSA Data Repository Item 2004139. Tables DR1 and DR2 and Figures DR1–DR3, is available on request from Documents Secretary, GSA, P.O. Box 9140, Boulder, CO 80301-9140, USA, editing@geosociety.org, or at www.geosociety.org/pubs/ft2004.htm', 'Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=300272']",Africa and Red Sea,
bolshoi_semiachik,Bolshoi Semiachik,300150,Russia,Yes,No,1992 to 2003,"<p>Pritchard and Simons present ERS-1 and -2 and RADARSAT data for northern Kamchatka between 1992 and 2003, although most volcanoes are only covered during the last three years. The authors state there is a complete list in the GSA Data Repository Item 2004139.<br />
The Institute of Volcanology and Seismology (IVS FEB RAS) and Kamchatka Volcanic Eruption Response Team (KVERT) are responsible for monitoring volcanoes and providing aviation alerts.</p>
",54.32,160.02,InSAR,,"['Pritchard, M. E., & Simons, M. (2004). Surveying volcanic arcs with satellite radar interferometry: The central Andes, Kamchatka, and beyond. GSA Today, 14(8), 4-11.<br />\nGSA Data Repository Item 2004139. Tables DR1 and DR2 and Figures DR1–DR3, is available on request from Documents Secretary, GSA, P.O. Box 9140, Boulder, CO 80301-9140, USA, editing@geosociety.org, or at www.geosociety.org/pubs/ft2004.htm', 'Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=300150']",Africa and Red Sea,
bolshoi-kekuknaysky,Bolshoi-Kekuknaysky,300360,Russia,No,,,"<p>Pritchard and Simons present ERS-1 and -2 and RADARSAT data for northern Kamchatka between 1992 and 2003, although most volcanoes are only covered during the last three years. The authors state there is a complete list in the GSA Data Repository Item 2004139.<br />
&nbsp;</p>
",56.47,157.8,No measurements,,"['Pritchard, M. E., & Simons, M. (2004). Surveying volcanic arcs with satellite radar interferometry: The central Andes, Kamchatka, and beyond. GSA Today, 14(8), 4-11.<br />\nGSA Data Repository Item 2004139. Tables DR1 and DR2 and Figures DR1–DR3, is available on request from Documents Secretary, GSA, P.O. Box 9140, Boulder, CO 80301-9140, USA, editing@geosociety.org, or at www.geosociety.org/pubs/ft2004.htm', 'Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=300360']",Africa and Red Sea,
,Boomerang Seamount,234000,France,No,,,,-37.721,77.825,No measurements,,['Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=234000'],Atlantic Ocean,
bora_ale,Bora Ale,221071,Ethiopia,Yes,No,2005 - 2010,"<p>Bora Ale, located in the centre of the Erta Ale Range, initially formed submarine. The most recent, although undated activity, were basaltic lava flows from a NNW-trending fissure that cut across the stratovolcano. <span style=""color: #333333;"">Pagli, et al. (2014), for the purposes of investigating regional velocity fields, has looked at Envisat InSAR data (2005 – 2010) covering this volcano. They report no deformation. Some fumarolic activity can be found towards this north of this volcano however.</span></p>
",13.725,40.6,InSAR,,"['Pagli, C. et al., 2014. Current plate boundary deformation of the Afar rift from a 3-D velocity field inversion of InSAR and GPS. Journal of Geophysical Research: Solid Earth, 119(11), pp. 8562-8575.']",Atlantic Ocean,
bora-bericcio,Bora-Bericcio,221240,Ethiopia,Yes,Yes,"1997-2000, 2004-2010","<p>InSAR data between 1997-2000 and 2004-2010 shows two periods of uplift, separated by a period subsidence (Biggs et al., 2011). The first period of uplift was in 2004, where ~3 cm was observed over ~3 months. After these 3 months some subsidence occurred, but until 2008 an absence of data prevents an accurate description of the exact changes throughout that time. Between August 2008 and June 2010 (900 days) a circular pattern of 5.3 cm of uplift was observed between Bora Berrichio and Tulla Moje volcano. The best fitting source model for this deformation was found to be a penny shaped crack between 0.9-1.3 km deep and 4.7-8.1 km radius (Biggs et al., 2011).<br />
The deflation and inflation at Bora is also more linear (&gt;4 year decay constant) that the nearby volcanoes of Alutu and Haledebi.</p>
",8.27,39.03,InSAR,Magmatic,"['Biggs, J., I. D. Bastow, D. Keir, and E. Lewi (2011), Pulses of deformation reveal frequently recurring shallow magmatic activity beneath the Main Ethiopian Rift, Geochem. Geophys. Geosyst., 12, Q0AB10, doi:10.1029/2011GC003662.']",Iceland and Arctic Ocean,
borawli,Borawli,221121,Ethiopia,Yes,No,2005 - 2010,"<p><span style=""color: #333333;"">Pagli, et al. (2014), for the purposes of investigating regional velocity fields, has looked at Envisat  InSAR data covering this volcano. They report no deformation at this group of rhyolitic lava domes. </span><br />
N.B. There is another volcano in Ethiopia named Borawli.</p>
",11.63,41.45,InSAR,,"['Pagli, C. et al., 2014. Current plate boundary deformation of the Afar rift from a 3-D velocity field inversion of InSAR and GPS. Journal of Geophysical Research: Solid Earth, 119(11), pp.8562-8575.', 'NASA Landsat image, 1999']",Canada and Western USA,
boset-bericha,Boset Bericha,221210,Ethiopia,Yes,No,2005-2010,"<p>Boset (also known as Gudda, or discussed as Boset-Bericha) volcano exhibits no deformation between 2005-2010, as seen by Envisat interferograms (Biggs et al., 2011).</p>
",8.558,39.475,InSAR,,"['Biggs, J., I. D. Bastow, D. Keir, and E. Lewi (2011), Pulses of deformation reveal frequently recurring shallow magmatic activity beneath the Main Ethiopian Rift, Geochem. Geophys. Geosyst., 12, Q0AB10, doi:10.1029/2011GC003662.', 'Siebert, L., and T. Simkin (2002), Volcanoes of the World: An Illustrated Catalogue of Holocene Volcanoes and Their Eruptions, Global Volcanism Program Digital Inf. Ser., GVP‐3, Smithsonian Inst., Washington, D. C. [Available at http://www.volcano.si.edu/world/.]']",Antarctica,
,Bouvet,386020,Norway,No,,,,-54.42,3.35,No measurements,,['Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=386020'],Antarctica,
,Brava,384020,Cape Verde,No,,,,14.85,-24.72,No measurements,,['Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=382050'],New Zealand to Fiji,
brennisteinsfjoll,Brennisteinsfjoll,371040,Iceland,Yes,No,Continuous,"<p><span style=""color: #000000;""><a style=""font-weight: inherit; font-style: inherit; color: #0062a0 !important;"" href=""http://en.vedur.is/"" target=""_blank"">The Icelandic Meteorological Office (IMO)</a></span><span style=""color: #000000;""> leads long-term monitoring of geohazards in Iceland and is responsible for maintaining instrument networks for this purpose. FutureVolc detail a <a href=""http://futurevolc.hi.is/node/18"">description of in-situ monitoring networks in Iceland and available results</a>. In-situ instrumentation to monitor geological hazards in Iceland includes seismic, GPS, strain, hydrological, radar, infrasound networks, and scanning DOAS spectrometers. With InSAR, t<span style=""color: #333333;"">he volcanoes in Iceland are not covered by a single systematic study but 85% of them have been included in separate studies of volcanic, seismic, cryospheric or geothermal processes (Biggs et al., 2014).</span></span></p>
",63.92,-21.83,"InSAR, GPS - continuous, GPS - campaign, Levelling, Strainmeter, Tiltmeter, EDM",,"['Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=371040', 'The Icelandic Meteorological Office (IMO)', 'Sturkell, E., Einarsson, P., Sigmundsson, F., Geirsson, H., Olafsson, H., Pedersen, R., ... & Stefánsson, R. (2006). Volcano geodesy and magma dynamics in Iceland. Journal of Volcanology and Geothermal Research, 150(1), 14-34.']",Antarctica,
bridge_river_cones,Bridge River Cones,320170,Canada,No,,,,50.8,-123.4,No measurements,,"['Hickson C J, Edwards B R, 2001. Volcanoes and Volcanic Hazards in Canada. In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248']",Africa and Red Sea,
,Bridgeman Island,390040,Antarctica,No,,,,-62.06100000000001,-56.93,No measurements,,['Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=390040'],Indonesia,
,Bristol Island,390080,United Kingdom,No,,,,-59.063,-26.587,No measurements,,['Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=390080'],Indonesia,
,Brothers,241150,New Zealand,No,,,,-34.875,179.075,No measurements,,['Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=241150'],Alaska,
,Buckle Island,390010,Antarctica,No,,,,-66.78,163.25,No measurements,,['Smithsonian Institution Global Volcanism Program<br />\nhttp://volcano.si.edu/volcano.cfm?vn=390010'],Philippines and SE Asia,
bufumbira,Bufumbira,223070,Uganda,No,,,,-1.23,29.72,No measurements,,['http://volcano.si.edu/volcano.cfm?vn=223070'],Africa and Red Sea,
bukit_daun,Bukit Daun,261210,Sumatra,No,,,,-3.38,102.37,No measurements,,"['Global Volcanism Program, 2013. Bukit Daun (261210) in Volcanoes of the World, v. 4.5.0. Venzke, E (ed.). Smithsonian Institution. (http://volcano.si.edu/volcano.cfm?vn=261210). http://dx.doi.org/10.5479/si.GVP.VOTW4-2013']",Indonesia,
bukit_lumut_balai,Bukit Lumut Balai,261240,Sumatra,No,,,,-4.22,103.62,No measurements,,"['Global Volcanism Program, 2013. Bukit Lumut Balai (261240) in Volcanoes of the World, v. 4.5.0. Venzke, E (ed.). Smithsonian Institution. (http://volcano.si.edu/volcano.cfm?vn=261240). http://dx.doi.org/10.5479/si.GVP.VOTW4-2013']",Kamchatka and Mainland Asia,
,Buldir,311010,United States,No,,,,52.35,175.922,No measurements,,['U.S. Geological Survey Alaska Volcano Observatory (AVO) website<br />\nhttp://www.avo.alaska.edu/volcanoes/volcinfo.php?volcname=Buldir'],Africa and Red Sea,
bulusan,Bulusan,273010,Philippines,Yes,Yes,2007-2011,"<p>Deformation related to pressure changes, with the best fitting Mogi source located at a half-space depth of 0.5 km (Morales et al., 2015).</p>
",12.77,124.05,InSAR,Magmatic,"['Morales Rivera, A.M., Amelung, F. and Eco, R., 2015, May. Volcano Deformation and Modeling on Active Volcanoes in the Philippines from ALOS InSAR Time Series. In ESA Special Publication (Vol. 731, p. 74).']",Indonesia,
bunyaruguru,Bunyaruguru,223004,Uganda,No,,,"<p>There has been no reports of deformation at Bunyaruguru (syn. <span style=""color: #625647;"">Kichwambe Volcanic Field), a collection of around 130 maars </span></p>
",-0.2,30.08,No measurements,,['Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=223004'],Alaska,
